player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,base,Amount,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death
219,Aaron Finch,Royal Challengers Bangalore,2020,1,1,0,0,1,0,2.0,4.4,32.56716417910448,67,161.98960653303638,41.16981132075472,0.0,1,5.0,0.0,0.0,675.712343933763,185.16644444444444,0.0,0.0
217,Abdul Samad,Sunrisers Hyderabad,2020,0,1,1,0,0,0,0.2,0.2,18.22222222222222,9,131.20000000000002,27.333333333333332,0.0,4,7.6,0.0,0.0,0.0,0.0,0.0,0.0
1944,Abhijeet Tomar,Kolkata Knight Riders,2022,0,1,0,0,0,0,0.2,0.4,13.0,5,73.03370786516854,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Abhinav Sadarangani,Gujarat Titans,2022,0,1,0,0,0,0,0.2,2.6,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Abhishek Sharma,Sunrisers Hyderabad,2022,0,1,1,0,0,1,0.2,6.5,19.413793103448278,29,138.66995073891627,25.59090909090909,0.6363636363636364,11,7.904761904761905,23.714285714285715,18.0,29.225000000000005,111.25165217391304,0.0,33.0
100,Adam Milne,Chennai Super Kings,2022,1,0,1,0,1,0,1.5,1.9,6.0,18,131.70731707317074,13.5,1.0,38,7.4206730769230775,27.07894736842105,21.894736842105264,0.0,104.11197530864197,14.56580671461433,11.911099224391547
100,Adam Milne,Mumbai Indians,2021,1,0,1,0,1,0,1.5,3.2,6.0,18,131.70731707317074,13.5,1.0,38,7.4206730769230775,27.07894736842105,21.894736842105264,0.0,104.11197530864197,14.56580671461433,11.911099224391547
654,Aiden Markram,Sunrisers Hyderabad,2022,1,1,0,0,1,0,1.0,2.6,24.11764705882353,17,122.75449101796407,29.285714285714285,0.8333333333333334,6,6.705882352941177,22.8,20.4,144.80965232358005,56.86266666666666,33.0,0.0
187,Ajinkya Rahane,Kolkata Knight Riders,2022,0,1,0,0,1,0,1.0,1.0,23.075,40,123.06666666666666,24.289473684210527,0.0,0,0.0,0.0,0.0,345.3421860129776,73.26,0.0,0.0
2536,Akash Deep,Royal Challengers Bangalore,2022,0,0,1,0,0,0,0.2,0.2,5.75,8,109.52380952380953,6.571428571428571,1.1538461538461537,26,6.785578747628083,19.866666666666667,17.566666666666666,0.0,25.736666666666668,12.891447830360903,10.443309499489276
2680,Akash Singh,Rajasthan Royals,2021,0,0,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2680,Akash Singh,Rajasthan Royals,2020,0,0,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Alex Carey,Delhi Capitals,2020,1,0,0,1,1,0,2.0,2.4,27.78048780487805,41,134.79289940828403,33.5,0.0,0,0.0,0.0,0.0,337.25325870646765,134.1360459770115,0.0,0.0
281,Alex Hales,Kolkata Knight Riders,2022,1,1,0,0,1,0,1.5,1.5,28.66949152542373,118,145.38031800601635,31.324074074074073,0.0,0,0.0,0.0,0.0,1174.7585877009083,195.3489105691057,0.0,0.0
108,Alzarri Joseph,Gujarat Titans,2022,1,0,1,0,1,0,0.75,2.4,7.285714285714286,14,121.42857142857142,17.0,1.0476190476190477,21,9.117782909930716,29.90909090909091,19.681818181818183,0.0,89.76784810126583,14.239787690109218,12.529572338489533
3787,Aman Khan,Kolkata Knight Riders,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Ambati Rayudu,Chennai Super Kings,2022,0,0,0,1,1,0,2.0,6.75,27.71875,64,126.89556509298998,34.78431372549019,0.0,0,0.0,0.0,0.0,227.51135985130114,192.10016279069768,0.0,0.0
179,Andrew Tye,Rajasthan Royals,2020,1,0,1,0,1,0,1.0,1.0,6.03030303030303,33,126.7515923566879,9.95,1.4487179487179487,78,8.232235701906411,21.01769911504425,15.31858407079646,0.0,155.9785324675325,13.938973834694588,10.278119378138173
0,Aneeshwar Gautam,Royal Challengers Bangalore,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Anirudha Ashok Joshi,Rajasthan Royals,2020,0,1,1,0,0,0,0.2,0.2,44.77777777777778,9,177.53303964757708,100.75,0.6666666666666666,6,7.928571428571429,27.75,21.0,133.094,115.45771428571429,10.082987551867218,46.8
176,Ankit Singh Rajpoot,Lucknow Super Giants,2022,0,0,1,0,0,0,0.2,0.5,3.6363636363636362,11,71.42857142857143,8.0,1.2444444444444445,45,8.111475409836066,22.089285714285715,16.339285714285715,0.0,38.8785,17.8205960065554,12.17110098485962
149,Anmolpreet Singh,Mumbai Indians,2022,0,1,0,0,0,0,0.2,0.2,20.31578947368421,19,119.5046439628483,22.705882352941178,0.0,0,0.0,0.0,0.0,17.868444444444446,0.0,0.0,0.0
2794,Ansh Patel,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Anuj Rawat,Royal Challengers Bangalore,2022,0,0,0,1,0,0,0.2,3.4,20.875,16,118.02120141342756,30.363636363636363,0.0,0,0.0,0.0,0.0,0.0,84.57666666666668,0.0,0.0
231,Anuj Rawat,Rajasthan Royals,2020,0,0,0,1,0,0,0.2,0.8,21.363636363636363,11,112.98076923076923,26.11111111111111,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Anukul Roy,Kolkata Knight Riders,2022,0,1,1,0,0,0,0.2,0.2,11.833333333333334,18,132.29813664596273,21.3,0.52,25,7.0663811563169165,42.30769230769231,35.92307692307692,0.0,94.8364210526316,15.230769230769232,25.71428571428571
0,Anunay Singh,Rajasthan Royals,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2893,Arjun Tendulkar,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.3,1.5,2,42.857142857142854,3.0,1.0,2,9.571428571428573,33.5,21.0,0.0,0.0,0.0,0.0
2893,Arjun Tendulkar,Mumbai Indians,2021,0,1,1,0,0,0,0.2,0.2,1.5,2,42.857142857142854,3.0,1.0,2,9.571428571428573,33.5,21.0,0.0,0.0,0.0,0.0
2265,Aryan Juyal,Mumbai Indians,2022,0,0,0,1,0,0,0.2,0.2,10.0,3,115.38461538461537,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Ashok Sharma,Kolkata Knight Riders,2022,0,0,1,0,0,0,0.2,0.55,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3484,Ashwin Hebbar,Delhi Capitals,2022,0,1,0,0,0,0,0.2,0.2,25.727272727272727,11,128.05429864253392,47.166666666666664,1.3636363636363635,11,8.214285714285715,23.0,16.8,23.098736842105264,135.34888235294116,11.505744562186281,15.428571428571429
2637,Atharva Taide,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Avesh Khan,Lucknow Super Giants,2022,0,0,1,0,1,0,0.2,10.0,1.625,8,59.09090909090909,2.6,1.16,25,8.538461538461538,26.79310344827586,18.82758620689655,0.0,35.653999999999996,18.187311178247736,9.152955331628817
2889,Ayush Badoni,Lucknow Super Giants,2022,0,1,1,0,0,0,0.2,0.2,8.0,1,72.72727272727273,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4306,B. Sai Sudharsan,Gujarat Titans,2022,0,1,1,0,0,0,0.2,0.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,Baba Indrajith,Kolkata Knight Riders,2022,0,0,0,1,0,0,0.2,0.2,20.625,8,101.85185185185186,23.571428571428573,0.0,0,0.0,0.0,0.0,32.58466666666667,87.42800000000001,0.0,0.0
